english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,ah,4.394285714285713,12.67015799015799,15.919668769716088,87.071,0.3237531699070155,-0.049171042,16.27680828909104,-0.220974818,-0.44407615,-0.101066341
ale,ah,5.640722702278083,13.41330068560235,16.772563777817982,51,0.4218850269273826,-0.441161362,17.114384692357323,0.3349496315704483,-0.230907864,-0.55722572
ale,ao,7.391574406901509,10.298369829683699,15.627739712142711,113.904,-0.274327116,-0.361059421,16.012722620922112,0.12142559309848977,4.622442967549331,1.2317511447952594
ale,ae,7.157874818,12.788960205391527,15.826926596379549,65.239,0.18265071812296618,-0.164232795,16.180908682944562,-0.020898497,0.2715177820298553,0.30287058345432705
ale,ah,4.394285714285713,12.92949187,15.566931702344545,40,-0.153869786,-1.434952575,15.901876145788512,0.44646499970857434,-0.273448313,-0.236629556
ale,ah,7.512999999999999,11.167086568881219,14.46889638120926,130,0.5306863753213369,-0.218468987,14.844057697531058,-0.135014388,0.8530491163290943,1.3746388720181493
ale,eh,7.192604432,9.833176838810642,15.903301737756712,47.527,0.18198470288970992,-0.377220715,16.294361876943015,0.2531303354958494,0.071753046,0.31203632008661053
ale,aa,7.157874818,11.40242355605889,16.11998453,80,0.5955483640157198,-0.317421276,16.490626679721906,0,-0.437958386,-0.045383639
ale,iy,3.620405347132384,14.623478260869563,16.507338664682905,99.6,-2.213057688,1.4935283109196131,16.85893482556066,1.1677337121723186,-1.69737915,-2.11324683
ale,ih,5.252549019607843,9.986170543,15.008528528528528,50,-0.224758977,0.071041299,15.403586362206356,-0.455623427,0.14024814780393413,0.004833393
ale,ah,3.8429376601195555,12.491598005772763,15.833161033797216,29,0.028777763,-0.775128096,16.182911236802944,-0.26168496,0.592118719,0.14944527621650394
ale,ae,8.908892561983471,12.641899818323383,14.605349922239501,150,-0.136735513,-0.195378258,14.96089690016388,-1.105545164,0.9054614610563121,0.8801554187629623
ale,ih,4.8756822810590625,13.432176039119804,15.447676767676766,38.462,-0.026124066,0.031489765,15.795619265863557,-0.363536465,-0.482363761,-0.193190826
ale,ah,5.082904396934247,11.317699316628701,15.59959349593496,30,0.8724550059220677,0.38006428013235016,15.98081253497724,0.2283805192668691,0.8441921395776397,-0.100799897
ale,ao,8.616941176470588,10.490456730769232,16.490953800298062,170,-0.297692003,-0.571587868,16.870490035593562,-2.248877516,-1.837964279,-0.339635373
ale,ih,5.344701195219123,13.717819746593355,15.696394763343404,61,0.9231038574487407,-0.26746804,16.03645131853708,-0.347649757,0.032948016878270536,-0.120733733
ale,ah,4.136047197640117,10.53775913720791,15.316595034425204,41,0.14086483970966857,0.7251988112912695,15.713041848890485,0.7309128675595566,0.8351202954162051,0.092987092
ale,aa,9.290798577432913,11.642785515320334,15.015777063236872,187.669,-0.670070988,0.38926535518307226,15.392723753549557,-1.926421328,-1.378512428,0.4027925936461365
ale,iy,5.656923076923076,15.518664755273397,15.952248427672954,92.023,-0.60494359,0.079927392,16.272718999661937,-1.511548182,-0.514973768,0.18929893871716352
ale,eh,6.925451197053406,13.472883256154033,15.946155358898723,66.737,-0.246330621,0.6804602582074217,16.302307945163342,-0.655961479,1.3712951986881858,-0.851255401
ale,ah,4.691010682004929,12.469855453350855,15.52086814086814,71,-0.008866115,0.21002621108831399,15.884213617406422,0.4940073830291931,-0.087660267,0.41307948661758687
ale,uw,4.385166666666667,13.397528806079922,14.804219261847566,35.699,0.31463412228796894,0.1372513036022216,15.154056490674071,3.572797071129707,1.5306457456591147,0.36635156267674773
ale,ae,6.932577319587629,12.11622641509434,15.78097902097902,99.004,0.26720964508221634,2.512710071076567,16.18025714165326,0.14844569831518406,0.6135930794904958,-0.297691575
ale,ah,5.64882607,11.663143254520167,16.04278979,40,-0.474825637,2.5107834109738825,16.448180455868627,-0.446884634,0.26743020260708583,-0.032010038
ale,iy,4.557139313766019,12.531282051282052,15.224329896907218,30,-0.593950352,0.094169301,15.58528065793319,0.035861099,0.5092117758784429,-0.240030671
ale,ih,5.344701195219123,11.40242355605889,15.54285247,30,-0.878962927,0.076208417,15.91881615637759,-0.399496161,0.042003321,-0.035218196
ale,ah,5.1085253827558414,10.622193087008343,16.26902648123452,120,-0.450812157,0.12699332732074886,16.65623176364701,-0.128728058,-0.575619099,-0.232223362
