vowel,f1,f2,f3,duration,spanish_speaker,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
e,5.151089666264575,13.672610364683301,15.170570824524313,30,Jos,0.085300405,0.29405892839555214,15.518812000934275,-0.008499159,0.30692147052269014,0.009386928
e,5.082904396934247,12.966698758550796,15.721912798874824,40,Jos,0.34763584424872107,0.003373873,16.075758110235242,-0.103107072,0.21242864110016413,0.2848516195024988
o,5.881086956521739,8.203770209838321,16.044783794312426,70,Jos,1.3779622155354154,-0.293624037,16.45905331865678,-0.461587155,-0.182144081,-0.644204084
i,4.145374894692502,9.180227790432802,15.341698584512907,170,Jos,-1.12398936,-1.147252477,15.731173850053631,-0.264181374,-1.171298722,-0.608083994
e,5.591968503937007,13.744790076335878,14.690322011468902,40,Jos,-0.008141689,-0.17688443,15.031236447269743,-0.081770875,-0.754521993,0.25254745994425853
e,5.031475940153658,13.208457711442787,16.35037037037037,50,Jos,0.025807923959327184,0.16129578749415963,16.703083979081086,0,0.10323034383855578,-0.383932686
o,5.542983425414364,8.333415300546449,14.415561074734704,80,Jos,-0.146264223,0.2991097449908935,14.83611189931312,-0.214977046,-0.067676528,2.1171564173817856
e,4.814477124183006,13.999654124795514,15.68999596936719,30,Jos,0.1234664421780769,0.1805504966238285,16.032293779439925,-0.026338065,0.1137332333892509,0.1014611164611523
e,5.769617486338797,13.836807956429078,16.85611191,90,Jos,0.6867130894045497,0.22804017248888186,17.20124697,-0.096519447,-0.354567333,-0.629220766
e,6.322688947968096,8.693788487282465,14.786649168853895,130,Jos,0.037970531,-2.135579346,15.169332837799976,0.1579139156340128,5.181206791,0.9310191728546489
e,5.632612966601178,14.315610200364299,15.72403374849337,50,Jos,-0.080811691,0.3591561665931913,16.064479145158135,-0.49002246,0.22977613282015952,0.4038024184308906
e,5.444314036478985,13.26994800693241,16.147412263787118,40,Jos,0.656174977,0.1170027159006839,16.498698057118993,0.16393143952416267,0.00322031,-0.092670096
o,5.583820401732965,8.394499659632404,15.343975026014569,50,Jos,0.3818789657121071,-0.222441517,15.756623504695689,0.24168368546049468,1.1345918290510522,0.40966279449825116
e,6.774580549368968,7.874535901926444,14.809229425889542,90,Jos,1.3385313625383457,-0.544281229,15.22456456,-0.596952393,-0.48975345,-0.248141112
e,4.394285714285713,13.87206611570248,16.194088291746638,30,Jos,1.6150012777919747,0.21459794371112828,16.538566372368084,1.2383272523154645,-0.127276039,-0.17929634
e,6.450716981132074,13.562768635043563,16.54896296296296,30,Jos,0.32706527418922793,0.32187533479542374,16.89906179094441,2.1305292297133276,0.8124737754684421,0.043057686004591034
o,2.8839180765805876,8.948997361477574,15.709169181251257,90,Jos,0.5982559761239674,-1.221989763,16.10076283652843,0.9110155990719573,-0.063105273,-0.107405312
e,7.3711838790931985,14.216730945821855,16.004755572937032,100,Jos,-0.471061735,0.40945821854912623,16.34721295571549,0.094781033,0.11248442829686134,0.1699367347552716
e,5.328006379585326,15.037466837826273,15.770480000000001,50,Jos,0.10073073855968495,0.27096377,16.100005692468294,-0.008357397,0.031182618115694893,1.2107056308617903
e,6.636037383177569,13.827962085308057,15.228980021030495,30,Jos,0.5511180903259163,-0.023561093,15.57084057281821,-0.192805975,-0.110142339,1.2032688545317214
e,5.999181783,11.81204845814978,16.172748605501056,172.381,Jos,0.21356555844634428,0.055984334,16.542901206071445,-0.984904163,0.019889952628332708,-1.469659819
e,5.014277620396601,11.223381088825214,14.816736474694592,388.502,Jos,0.008609604,-1.527370713,15.173451706962815,0.051511640806467085,0.6283926618612217,-0.149465756
e,7.364377249820014,12.53847280334728,14.545386333184458,85.127,Jos,2.1455395744693133,3.606640515463491,14.953765858716375,-0.047783962,0.3774376747808983,0.9710741338372522
u,3.6301724137931037,11.180114942528736,15.418569656883008,55.332,Jos,0.058729026,-0.213879392,15.793616872721191,-0.009767067,0.5919888675209624,0.029107111
a,7.711943462897525,11.996879586844251,16.339099508134694,74.486,Jos,0.21235804474170017,0.011656518291475848,16.706155168233458,-0.118856692,-0.556642366,-0.535096318
e,6.100430107526881,12.00851711026616,15.210356014324837,53.204,Jos,-0.054100724,0.093634661,15.578362207537236,-0.023275167,-0.109360022,0.023270220697234834
a,7.206460980036297,11.695598112683873,15.558188124872474,61.717,Jos,0.048586162,0.036521874509137575,15.929651673153929,-0.181719316,-0.180307301,-0.496719295
a,7.364377249820014,11.634626532887403,15.427542337876911,53.204,Jos,-0.020405203,-0.056922606,15.798566948159767,-0.575326805,-0.16093817,-0.05858885
a,6.0538260200153955,11.744011065006916,15.629898662342926,75.835,Jos,0.17273906349365653,0.024166232643381136,16.000540809968935,0.13917092188062874,-0.036279506,-0.249629009
a,7.913135267389024,12.027870897748846,15.700656331789814,30,Jos,-0.215707565,0.15631619525364293,16.069248059118667,-0.24064235,-0.291906325,-0.483308963
i,3.571443388072601,10.308085106382977,14.834214768024397,90,Jos,-0.414284232,-4.543554737,15.162593311420498,0.6111638448962804,3.516925559651627,0.6156945477216862
a,9.421610522938723,12.271042388696348,14.947759327151175,140,Jos,1.4063307175859237,0.5350778163188217,15.318183594984784,-4.30455857,-2.484325502,-1.684256726
o,6.123651706942846,9.619378566899176,14.75640350877193,360,Jos,0.6134540784843487,0.6932755285900605,15.164860693077738,-2.062510058,1.986619757591189,0.7995964912280691
a,6.650713485244677,10.645486462362392,13.337241379310345,150,Jos,0.8331745444347085,0.3763335068474607,13.727506160736596,0.021973081919502313,-0.519067772,0.15745448443661303
i,6.435740181268882,12.312004253056884,16.83408952004314,30,Jos,-0.229627493,-0.521834027,17.189682939203685,-0.097903369,-0.432552348,-0.815288505
o,6.007006172839505,9.864004998437988,15.161168006771053,120,Jos,1.1750061728395051,-0.535789501,15.549664494986674,0.3987124353299354,0.41489877744507986,0.17369556331851044
